solidity,solc,contract,pre_time_a,pre_cov_a,pre_exception_a,max_cov_a,no_state_at_d1_a,time_a,total_states_a,cov_1_a,cov_2_a,cov_3_a,bugs_a,total_runtime_instructions_a,pre_time_b,pre_cov_b,pre_exception_b,max_cov_b,no_state_at_d1_b,time_b,total_states_b,cov_1_b,cov_2_b,cov_3_b,bugs_b,total_runtime_instructions_b,cov_diff
0x00000000001876eb1444c986fd502e618c587430.sol,0.5.11,DharmaDai,-,-,-,-,-,9.807246685,371,11.43,93.51,0,2,-,1.193983793,93.51%,-,1,-,49.47281528,723,11.43,93.51,0,2,154,0
0x00000000004cda75701eea02d1f2f9bdce54c10d.sol,0.5.11,DharmaAccountRecoveryManager,-,-,-,-,-,933.5310118,16516,8.41,75.21,0,1,-,201.1532512,59.66%,-,-,-,909.713834,17691,8.41,75.21,0,1,5506,0
0x00000000005280b515004b998a944630b6c663f8.sol,0.5.11,DharmaEscapeHatchRegistry,-,-,-,-,-,35.20955515,4738,2.25,96.89,0,0,-,5.830812454,96.89%,-,1,-,25.85258579,2562,2.25,96.89,0,0,869,0
0x000000000092c287eb63e8c2c30b4a74787054f8.sol,0.5.8,TokenFactoryProxy,-,-,-,-,-,571.2066472,11944,21.62,96.57,0,2,-,18.27417779,96.57%,-,1,-,85.45813847,2007,21.62,96.57,0,2,904,0
0x0000000000dfed903ad76996fc07bf89c0127b1e.sol,0.5.11,DharmaAccountRecoveryManagerV2,-,-,-,-,-,911.6225924,16652,5.89,76.17,0,6,-,223.8726816,70.22%,-,-,-,920.161834,19547,5.89,76.17,0,6,8179,0
0x000000000d38df53b45c5733c7b34000de0bdf52.sol,0.5.11,DharmaKeyRegistryV2,-,-,-,-,-,118.2373691,8935,9.43,88.91,0,0,-,37.60256815,98.54%,-,-,-,159.9826338,8941,9.43,88.91,0,0,2055,0
0x000000001a1f402e8e32f1faac83692266167b26.sol,0.6.0,DeadSender,-,-,-,-,-,211.9545045,2304,6.41,95.99,0,2,-,61.21573377,96.49%,-,-,-,273.0401766,2048,6.41,95.99,0,2,598,0
0x00000000580090b7b5b593ab408000b1abb5f78d.sol,0.5.11,DharmaDaiImplementationV1,-,-,-,-,-,941.4411619,50101,0.15,44.13,0,3,-,100.5667052,49.91%,-,-,-,923.4772141,41921,0.15,44.13,0,3,12904,0
0x0000000088ad0c701dd873c5915addc65f54fa05.sol,0.5.0,MetalTracker,-,-,-,-,-,209.4495931,4966,2.84,99.62,0,0,-,187.1123612,81.76%,-,-,-,285.6409032,3383,2.84,99.62,0,0,1058,0
0x00000000daa80e2b0694604fc3644b0016dd56fc.sol,0.5.13,IndestructibleRegistry,-,-,-,-,-,908.9675634,29308,2.82,95.49,0,1,-,100.0076149,95.92%,-,-,-,587.454143,45268,2.82,95.49,0,1,687,0
0x000f400e6818158d541c3ebe45fe3aa0d47372ff.sol,0.5.16,ArbitraryCaller,-,-,-,-,-,128.0804117,764,7.58,91.77,0,1,-,10.02494407,91.77%,-,1,-,100.8165176,521,7.58,91.77,0,1,243,0
0x00111feeb7ee43e262ff38aaf912b72ea668edc3.sol,0.5.11,RipgaleToken,-,-,-,-,-,145.6815898,7181,10.72,94.89,0,0,-,18.18757629,99.03%,-,-,-,104.7066598,5637,10.72,94.89,0,0,1760,0
