solidity,solc,contract,solcError,fullyImplemented,contractKind,contractDependencies,invokedContracts,numSV,numFunctions,checkResults
0x0144F889f8ED5Ec7962E2936683D3784b550C71A.sol,0.5.0,ELE,False,True,contract,"['IERC20', 'ERC20', 'ERC20Detailed']",['ERC20'],0,1,False
0x022023be5ec6ae0af99d3cb337a2811ad123b3d8.sol,0.5.11,EnergyChainValidator,False,True,contract,['ChainValidator'],[],6,16,False
0x0444113cad736b6452c824c642fed8a4df1c4a34.sol,0.5.12,EtherBuy,False,True,contract,[],[],2,13,False
0x09a72eaa8a67e804df4a8a5c72625f93c3c0dc45.sol,0.5.0,Szechenyi,False,True,contract,"['ERC20Interface', 'SafeMath']",['SafeMath'],6,7,False
0x0C9e046e22a04Ce91B6036F3f7496A4FbD827260.sol,0.5.7,AbsDAO,False,True,contract,"['Ownable', 'WalletOnly']",['Ownable'],4,14,False
0x0d2bb9d68dd4451a09ec94c05e20bd395022bd8e.sol,0.4.18,CRYPTOBUCKS,False,True,contract,"['Ownable', 'ERC20Basic', 'Pausable', 'Whitelist', 'BasicToken', 'ERC20', 'StandardToken']","['Ownable', 'Pausable', 'Whitelist', 'BasicToken', 'StandardToken']",5,6,False
0x0f1b2a4b049e69e651d9651072a5d6e44a030ae4.sol,0.5.11,EasyPool,False,True,contract,[],[],68,23,False
0x0fd43c8fabe26d70dfa4c8b6fa680db39f147460.sol,0.5.0,ViewCallGasLimit,False,True,contract,[],[],0,1,False
0x164f0C960c164F8988a556B4EB86d3a696b8E7f0.sol,0.4.24,USDollarHKex,False,True,contract,"['Ownable', 'ERC20Basic', 'BasicToken', 'ERC20', 'StandardToken', 'Pausable', 'PausableToken']","['Ownable', 'BasicToken', 'StandardToken', 'Pausable', 'PausableToken']",6,10,False
0x1c1811b20d9b10fb04813a48396939e324051094.sol,0.4.24,GiantSourceChain,False,True,contract,[],[],19,21,False
0x1efcb2b253a9155be36addf5eaed7f644c9c09fd.sol,0.5.0,LoanLimitsModule,False,True,contract,"['Initializable', 'Context', 'Ownable', 'Base', 'ModuleNames', 'Module', 'ILoanLimitsModule']","['Ownable', 'Base', 'Module']",4,10,False
0x217ec8e7f862ca61fe1d3947b6b1484cd1039fae.sol,0.5.0,PersonalTokenFactory,False,True,contract,['PersonalToken'],['PersonalToken'],2,3,False
0x288685e88a1885c631478492e0d948d91cc44570.sol,0.4.26,Yhbt,False,True,contract,"['SafeMath', 'Owned']",['Owned'],6,10,False
0x2b878f8d2a3f953ec3c9da554c8a8480fe4f8f30.sol,0.4.26,TokenERC20,False,True,contract,"['Token', 'StandardToken']",['StandardToken'],4,2,False
0x307B265c6Ab333b63e739936722cc8E62D78Cc19.sol,0.4.25,Authority,False,True,contract,"['Owned', 'AuthorityFace']",['Owned'],3,42,False
0x30be687dad42a65bfdceb3b3ae906168869d8ecd.sol,0.4.20,ERC20Token,False,True,contract,"['Token', 'StandardToken']","['Token', 'StandardToken']",4,3,False
0x3333331365f21e192fd43e599dbb44eff532a667.sol,0.5.16,CryptoGames,False,True,contract,[],[],10,25,False
0x3eab31b98d90b8b62e015b9b0c6bb973f1fc9e77.sol,0.4.18,UlandToken,False,True,contract,"['Token', 'StandardToken']","['Token', 'StandardToken']",7,3,False
0x403fc67bc995aee4dae6f5461788c94c977282b5.sol,0.5.0,DeflationToken,False,True,contract,"['IERC20', 'ERC20Detailed', 'Owned']",['Owned'],10,20,False
0x4704697f1390d1d1d7c898094bba44b53e9fdec2.sol,0.5.0,TokenMintERC20Token,False,True,contract,"['IERC20', 'ERC20']",['ERC20'],3,5,False
0x4D37fCE35e69C0368565CcbB53d6eA7558a964A1.sol,0.6.0,InstaMemory,False,True,contract,[],[],3,6,False
0x4d728a4496e4de35f218d5a214366bde3a62b51c.sol,0.5.0,LendingRateOracle,False,True,contract,"['ILendingRateOracle', 'Ownable']",['Ownable'],2,4,False
0x53c1d7fb6d0c8044bf6faf8bc53a8818fda8b4bd.sol,0.5.1,OSF,False,True,contract,['ERC20'],[],8,11,False
0x54a34bd893a2f8e90370fd7e1556bf43f7a29d1c.sol,0.5.0,ThreeBodyChain,False,True,contract,"['IERC20', 'ERC20Detailed', 'Context', 'ERC20']",['ERC20'],0,1,False
0x5DDC23dEE470AEc28D51721b4E3A25f9399166EC.sol,0.5.16,P1InverseFundingOracle,False,True,contract,"['Context', 'Ownable', 'I_P1Funder', 'P1FundingOracle']","['Ownable', 'P1FundingOracle']",0,2,False
0x61eDb6b025867c1A5354ed46A13C10b616e32AB0.sol,0.4.24,HPUP,False,True,contract,[],[],9,17,False
0x63957c56a34eb6dfbaf87799f160ee3b343b3219.sol,0.6.2,ERC20,False,True,contract,"['IERC20', 'Context']",[],7,18,False
